name,style,abv,ibu,brewer_name,tipo
'Bombs Away' Double IPA,Imperial or Double India Pale Ale,11.5,40.0,Crabby Larry's Brewpub Steak & Crab House,India Pale Ale
't Gaverhopke Extra,Belgian-Style Dark Strong Ale,12.0,40.0,Brouwerij 't Gaverhopke,Ale
‘BARLEY LEGAL’ BARLEYWINE,American-Style Barley Wine Ale,14.2,121.0,Dunsmuir Brewery Works,Ale
“The Great Impression” Stock Ale,Specialty Beer,11.4,43.0,Dust Bowl Brewing Company,Special
“The Void” Intergalactic Stout,American-Style Imperial Stout,17.5,60.0,Drake's Brewing Company,Stout
[BANISHED] Doublecross,Wood- and Barrel-Aged Dark Beer,12.0,20.0,Crux Fermentation Project,Stout
[BANISHED] Tough Love,Wood- and Barrel-Aged Dark Beer,11.5,70.0,Crux Fermentation Project,Stout
§ucaba (Abacus),American-Style Barley Wine Ale,13.0,42.0,Firestone Walker Brewing Company,Ale
1/4 Escuro,Robust Porter,12.0,34.0,Cerveja Aroeira,Porter
100 Barrel Series #10 Triticus,Specialty Beer,11.5,57.0,Harpoon Brewery,Special
1000 IBU,Imperial or Double India Pale Ale,12.2,1000.0,Mikkeller,India Pale Ale
10th Anniversary,American-Style Strong Pale Ale,11.8,40.0,The Livery,Ale
1100 Wheat Wine,American-Style Wheat Wine Ale,11.5,13.0,Fitger's Brewhouse,Ale
110K+OT Batch #1,Smoke Beer (Lager or Ale),11.4,17.0,Cigar City Brewing,Lager
110K+OT Batch #2,American-Style Imperial Stout,11.4,60.0,Cigar City Brewing,Stout
12,Belgian-Style Quadrupel,12.0,25.0,West Vleteren brewery,Trappist
120 Minute IPA,Imperial or Double India Pale Ale,18.0,120.0,Dogfish Head Craft Brewery,India Pale Ale
1221 Stout,American-Style Imperial Stout,12.0,60.0,Fountain Square Brewing Company,Stout
13/164,American-Style Stout,13.2,60.0,Christian Moerlein Brewing Company,Stout
15 Anniversary,Belgian-Style Tripel,15.0,25.0,Flossmoor Station Brewing Company,Trappist
15th Anniversary Bolt Cutter Barley Wine,American-Style Barley Wine Ale,15.0,40.0,Founders Brewing Company,Ale
1824,Belgian-Style Dark Strong Ale,12.2,40.0,Texian Brewing Co,Ale
1920 Cognac Stout Imperiale,Wood- and Barrel-Aged Beer,11.6,82.0,DESTIHL Brewery,Stout
2 Turtle Doves,Belgian-Style Dark Strong Ale,12.0,25.0,The Bruery,Ale
2 Year Portuguese Brandy Barrel Aged Dark Lord,American-Style Imperial Stout,15.0,60.0,Three Floyds Brewing Company,Stout
20 Ton Barleywine,American-Style Barley Wine Ale,12.0,40.0,Two Roads Brewing Company,Ale
2010 Blunderbuss Barleywine,American-Style Barley Wine Ale,12.8,40.0,Cambridge Brewing Company,Ale
20th Anniversary Ale,Belgian-Style Dark Strong Ale,11.5,40.0,Brewery Ommegang,Ale
21st Anniversary,Wood- and Barrel-Aged Beer,11.9,60.0,Weyerbacher Brewing Company,Stout
23rd Anniversary,Old Ale,12.2,30.0,Karl Strauss Brewing Company,Ale
2nd Anniversary Brother's Keeper,Wood- and Barrel-Aged Beer,14.3,11.0,Booze Brothers Brewing Co.,Stout
2nd Dip,Strong Ale,12.5,40.0,Noble Ale Works,Ale
3 Bean Stout,American-Style Imperial Stout,13.0,60.0,Lervig Aktiebryggeri,Stout
30th Anniversary Barrel-Aged Belgian Style Quad,Belgian-Style Quadrupel,11.3,20.0,Great Lakes Brewing Company,Trappist
30th anniversary english-style barleywine ale,British-Style Barley Wine Ale,11.5,50.0,Summit Brewing Company,Ale
3rd Year Beer,American-Style Barley Wine Ale,11.2,40.0,Revolution Brewing,Ale
