name,style,abv,ibu,brewer_name,tipo
Alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.4,17.0,Brauerei Eichhof,Lager
Amstel Malt,German-Style Leichtbier,0.1,17.0,Amstel Brewery,Lager
Bernard Free,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Bernard Family Brewery,Lager
BERNARD Free Amber,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Bernard Family Brewery,Lager
BERNARD Free Plum,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Bernard Family Brewery,Lager
BERNARD Free Sour Cherry,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Bernard Family Brewery,Lager
Bill Brewer,English-Style Brown Ale,1.0,40.0,Harvey & Son (Lewes),Ale
Birell,American-Style Light (Low Calorie) Lager,0.5,17.0,Coopers Brewery,Lager
Birra Moretti Zero,Non-Alcoholic (Beer) Malt Beverages,0.1,17.0,Birra Moretti,Lager
Bitburger Alkoholfrei,German-Style Leichtbier,0.1,17.0,Bitburger Brauerei,Lager
Bosch Alkoholfrei,German-Style Leichtbier,0.2,17.0,Schlüsselbräu Privatbrauerei Bosch,Lager
Braustolz Doppel Caramel,German-Style Leichtbier,1.2,17.0,Braustolz Brauerei,Lager
Buckler,German-Style Leichtbier,0.5,17.0,Heineken,Lager
Chodovar Nealkoholické Pivo,Session Beer,0.5,55.0,Pivovar Chodovar,Session
Clausthaler Classic,German-Style Leichtbier,0.5,17.0,Binding Brauerei,Lager
Clausthaler Extra Herb,German-Style Leichtbier,0.5,17.0,Binding Brauerei,Lager
Clausthaler Golden Amber,Non-Alcoholic (Beer) Malt Beverages,0.3,17.0,Radeberger Exportbierbrauerei,Lager
Clausthaler Hefeweizen,German-Style Leichtbier,0.5,17.0,Binding Brauerei,Lager
Clausthaler Premium,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Binding Brauerei,Lager
Die Alkoholfreie,Light American Wheat Ale or Lager with Yeast,0.5,13.0,Weissbierbrauerei Hopf,Lager
Diebels Alkoholfrei,German-Style Leichtbier,0.5,17.0,Diebels Privatbrauerei,Lager
Dinkelacker Alkoholfrei,German-Style Leichtbier,0.3,17.0,Dinkelacker-Schwaben Bräu,Lager
Drink'In The Snow,Specialty Beer,0.3,52.5,Mikkeller,Special
Einbecker Brauherren Alkoholfrei,German-Style Leichtbier,0.3,17.0,SBC Restaurant and Brewery,Lager
Einbecker Brauherren Non-Alcoholic,German-Style Pilsener,0.5,34.0,Einbecker Brauhaus AG,Lager
Erdinger Alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.4,17.0,Wells and Young's Brewing Company,Lager
Erdinger Alkoholfrei,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Privatbrauerei Erdinger Weissbräu,Lager
Falkenturm Analcolica,Non-Alcoholic (Beer) Malt Beverages,0.2,17.0,Einbecker Brauhaus AG,Lager
fľaša Nealkoholické pivo,Non-Alcoholic (Beer) Malt Beverages,0.5,17.0,Pivovar v Hurbanove,Lager
Franziskaner Weissbier Alkoholfrei,German-Style Leichtbier,0.5,17.0,Spaten-Franziskaner-Bräu,Lager
Gold Ochsen Hefeweizen Alkoholfrei,German-Style Leichtbier,0.5,17.0,Brauerei Gold Ochsen,Lager
Half-Wit Wheat,Light American Wheat Ale or Lager with Yeast,1.1,5.0,Wichita Brewing Company,Lager
Herforder Alkoholfrei,German-Style Leichtbier,0.5,17.0,Herforder Brauerei GmbH & Co. KG,Lager
Hirsch Weisse Alkoholfrei,German-Style Leichtbier,0.5,17.0,Hirsch-Brauerei Honer,Lager
Hochdorfer Alkoholfrei,German-Style Leichtbier,0.5,17.0,Hochdorfer Kronenbrauerei Otto Haizmann KG,Lager
Holsten Alkoholfrei,German-Style Leichtbier,0.4,27.0,Holsten-Brauerei,Lager
Huckleberry Lager,American-Style Lager,1.1,17.0,Wallace Brewing Company,Lager
