name,style,abv,ibu,brewer_name,tipo
“Conquered” Grape BzZz,Sweet Mead,6.0,1.0,Acoustic Draft Mead,Mead
(512) ALT,German-Style Altbier,6.0,1.0,(512) Brewing Company,Mead
100 Barrel Series #5 Alt,German-Style Altbier,5.3,1.0,Harpoon Brewery,Mead
10th Anniversary,Imperial or Double India Pale Ale,10.0,1.0,Port Brewing Company,India Pale Ale
19 Original Colonies,Open Category Mead,5.5,1.0,Rogue Ales,Mead
1911 Grapefruit Cider,Fruit Cider,5.5,1.0,Beak & Skiff Apple Orchards,Cider
1911 Raspberry Cider,Fruit Cider,5.5,1.0,Beak & Skiff Apple Orchards,Cider
200 Special Edition Cider,Fruit Cider,5.0,1.0,Sheppy's Cider,Cider
4th Anniversary Ale,German-Style Altbier,8.8,1.0,Hangar 24 Craft Brewery,Mead
9 Pin Cider,French Cider,6.8,1.0,C.H. Evans Brewing Company,Cider
A57N ALT Bier,German-Style Altbier,5.0,1.0,Herkimer Pub & Brewery,Mead
ACE Apple Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
ACE Apple Honey Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
ACE Berry Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
ACE Joker Cider,Fruit Cider,6.9,1.0,California Cider Company,Cider
Ace of Cascades,Open Category Mead,6.5,1.0,BOS Meadery,Mead
ACE Perry Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
ACE Pineapple Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
ACE Pumpkin Cider,Fruit Cider,5.0,1.0,California Cider Company,Cider
Achtung Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.8,1.0,Run of the Mill Public House and Brewery,Lager
Addlestones Cloudy Premium Cider,English Cider,5.0,1.0,Bulmers Cider,Cider
Agave Lime,Open Category Mead,6.0,1.0,B. Nektar Meadery,Mead
Alemannia,German-Style Altbier,4.5,1.0,Strange Land Brewery,Mead
AleWorks Altbier,German-Style Altbier,5.2,1.0,Third Street Aleworks Restaurant & Brewery,Mead
Alice,New England Cider,6.7,1.0,Bushwhacker Cider,Cider
All Hail Cyser,Cyser (Apple Melomel),11.0,1.0,Northville Winery & Brewing Co.,Cider
Alt,German-Style Altbier,5.7,1.0,Cambridge House Brew Pub,Mead
alt,German-Style Altbier,4.7,1.0,Scratch Brewing Company,Mead
ALT,German-Style Altbier,5.3,1.0,Bohemian Brewery,Mead
Alt,German-Style Altbier,5.4,1.0,Kinslahger Brewing Company,Mead
ALT,German-Style Altbier,4.9,1.0,Dru Bru,Mead
Alt,German-Style Altbier,4.8,1.0,Altstadt Brewery,Mead
Alt,German-Style Altbier,5.4,1.0,Clockwerks Brewing,Mead
Alt & In The Way,German-Style Altbier,4.0,1.0,Squatters Craft Beers,Mead
Alt 0220,German-Style Altbier,5.2,1.0,Überbrew,Mead
Alt 1848,German-Style Altbier,5.4,1.0,Utepils Brewing Co,Mead
Alt Amber,German-Style Altbier,5.2,1.0,BrewDog,Mead
Alt Ball and Chain,German-Style Altbier,5.2,1.0,Four Peaks Brewing Company,Mead
Alt Bier,German-Style Altbier,5.6,1.0,Devils Backbone Brewing Company,Mead
Alt Bier,German-Style Altbier,5.0,1.0,Chuckanut Brewery & Kitchen,Mead
Alt Bier,German-Style Altbier,5.4,1.0,Mad Fox Brewing Company,Mead
Alt German Ale,German-Style Altbier,5.0,1.0,Chuckanut Brewery & Kitchen,Mead
Alt Nouveau,German-Style Altbier,5.4,1.0,North Coast Brewing Company,Mead
Alt of the Covenant,German-Style Altbier,7.8,1.0,Seven Arrows Brewing Company,Mead
Alt Ready To Go,German-Style Altbier,5.3,1.0,People's Brewing Company,Mead
