name,style,abv,ibu,brewer_name,tipo
‘BARLEY LEGAL’ BARLEYWINE,American-Style Barley Wine Ale,14.2,121.0,Dunsmuir Brewery Works,Ale
1.21 Gigawatts,Belgian-Style Pale Strong Ale,10.1,150.0,Bier Brewery & Taproom,Ale
10/6th IPA,American-Style India Pale Ale,7.2,111.0,White Rabbit Brewing Company,India Pale Ale
1000 IBU,Imperial or Double India Pale Ale,12.2,1000.0,Mikkeller,India Pale Ale
120 Minute IPA,Imperial or Double India Pale Ale,18.0,120.0,Dogfish Head Craft Brewery,India Pale Ale
42nd Parallel,American-Style India Pale Ale,7.9,150.0,Liberty Street Brewing Company,India Pale Ale
7 Century,Imperial or Double India Pale Ale,10.5,700.0,7 Cent Brewery,India Pale Ale
8+35=20 Pilot Project,American-Style Imperial Stout,12.0,175.0,White Birch Brewing,Stout
9-2-5 Black IPA,American-Style Black Ale,5.0,111.0,Union Brewing Company,Ale
Abner,Imperial or Double India Pale Ale,8.2,170.0,Hill Farmstead Brewery,India Pale Ale
Abrasive Ale,Imperial or Double India Pale Ale,9.2,120.0,Surly Brewing Company,India Pale Ale
Af Brew Old Sparky,English-Style Pale Mild Ale,10.0,122.0,AF Brew,Ale
Against the Grain Hybrid IPA,Other Belgian-Style Ales,7.2,126.0,Sweet Mercy Brewing,Ale
Agnus Tripel Ale,Belgian-Style Tripel,7.5,330.0,Brouwerij Corsendonk,Trappist
All Green Everything,Imperial or Double India Pale Ale,10.5,120.0,Other Half Brewing Company,India Pale Ale
Alpha Dog Imperial IPA,Imperial or Double India Pale Ale,8.5,127.0,Laughing Dog Brewing,India Pale Ale
AlphaDog,Imperial or Double India Pale Ale,8.5,126.0,Thirsty Dog Brewing Company,India Pale Ale
AM:PM,Session India Pale Ale,4.5,330.0,Thornbridge Brewery,India Pale Ale
Amarillo Fog,Imperial or Double India Pale Ale,8.1,126.0,Platform Beer Co.,India Pale Ale
Amber Lager,Aged Beer (Ale or Lager),4.3,500.0,Galway Hooker,Lager
Ancient Rage,American-Style India Pale Ale,7.5,130.0,New Albanian Brewing,India Pale Ale
Anno Quinto,Strong Ale,7.9,121.0,Mike Hess Brewing Co.,Ale
Ashley Gang Outlaw Imperial IPA,Imperial or Double India Pale Ale,9.8,120.0,Big Top Brewing Company,India Pale Ale
Assawoman Amber IPA,American-Style Amber/Red Ale,7.2,132.0,Burley Oak Craft Brewery,Ale
Autonomy Lost,Imperial or Double India Pale Ale,9.0,125.0,White Pony microbrewery,India Pale Ale
Barney's Imperial Red,Imperial or Double India Pale Ale,9.5,113.0,Core Brewing & Distilling Co.,India Pale Ale
Barrel-aged Devil's Wine Barleywine,American-Style Barley Wine Ale,11.0,120.0,Spice Trade Brewing,Ale
Barrel-Aged Old Baba Yaga (Cognac),American-Style Imperial Stout,11.5,115.0,Bear Republic Brewing Company,Stout
Basilica 3xIPA,Imperial or Double India Pale Ale,10.5,130.0,Device Brewing Company,India Pale Ale
Bat Flip TIPA,Imperial or Double India Pale Ale,10.3,120.0,Half Moon Bay Brewing,India Pale Ale
Batch #6,American-Style India Pale Ale,8.1,140.0,Zebulon Artisan Ales,India Pale Ale
Baychimo,Imperial or Double India Pale Ale,11.9,125.0,Lock 27 Brewing,India Pale Ale
Behemoth,Imperial or Double India Pale Ale,9.5,140.0,One Barrel Brewing,India Pale Ale
Best Day Ever,Imperial or Double India Pale Ale,10.0,139.0,Osgood Brewing,India Pale Ale
Big 'N Beardy,American-Style Imperial Stout,9.8,155.0,7 Cent Brewery,Stout
Big A IPA,Imperial or Double India Pale Ale,9.7,126.0,Smuttynose Brewing Company,India Pale Ale
Big Bad Barleywine,American-Style Barley Wine Ale,11.5,150.0,Fegley's Brew Works,Ale
Big Four,Specialty Beer,10.0,168.0,Track 7 Brewing Company,Special
Big Hoppa Notorious I.P.A.,Imperial or Double India Pale Ale,9.9,111.0,Thr3e Wise Men Brewing Company,India Pale Ale
Billy Full-Stack IIPA,Imperial or Double India Pale Ale,8.2,135.0,Singlecut Beersmiths,India Pale Ale
Black Malts and Body Salts,American-Style Black Ale,9.0,120.0,To Øl,Ale
Blood Orange IPA,American-Style India Pale Ale,7.1,111.0,Falling Down Beer Company,India Pale Ale
Bolshoi,American-Style Imperial Stout,12.4,124.0,Sixpoint Brewery,Stout
Bon Bon 2X TNT,Imperial or Double India Pale Ale,8.2,143.0,Singlecut Beersmiths,India Pale Ale
Bough Breaker,American-Style Barley Wine Ale,9.1,120.0,Twisted Pine Brewing Company,Ale
Bourbon Barrel Aged IPA,Wood- and Barrel-Aged Beer,8.5,118.0,Hall Brewing Company,Stout
Brew Cocky,Imperial or Double India Pale Ale,9.3,119.0,2nd Shift Brewing Co,India Pale Ale
Bridezilla,Imperial or Double India Pale Ale,10.5,120.0,Seven Brides Brewery,India Pale Ale
Brother Benjamin,Imperial or Double India Pale Ale,10.1,114.0,Greenbush Brewing Co,India Pale Ale
Buck Naked,Imperial or Double India Pale Ale,7.5,130.0,Burley Oak Craft Brewery,India Pale Ale
Building Bridges,American-Style India Pale Ale,7.0,130.0,Amager Bryghus,India Pale Ale
Catalyst,Imperial or Double India Pale Ale,9.6,160.0,Texas Beer Refinery,India Pale Ale
Chasing The Dragon,Imperial or Double India Pale Ale,9.9,200.0,Free Will Brewing Company,India Pale Ale
Choss,Imperial or Double India Pale Ale,11.0,186.0,Figure Eight Brewing,India Pale Ale
Cinderella’s Twin Double IPA,Imperial or Double India Pale Ale,10.2,135.0,The Brew on Broadway,India Pale Ale
CINfully HOPnotic,Imperial or Double India Pale Ale,10.0,115.0,Bad Tom Smith Brewing,India Pale Ale
Citra-Ass Down,American-Style India Pale Ale,7.2,120.0,Cold Water Brewery,India Pale Ale
Cocoa Psycho,Specialty Stouts,10.0,330.0,BrewDog,Special
Conga Imperial IPA,Imperial or Double India Pale Ale,10.5,120.0,Brutopia Brewery,India Pale Ale
Cowboys From Hops,Imperial or Double India Pale Ale,8.1,180.0,In Peccatum Craft Beer,India Pale Ale
Cretaceous Black IPA,American-Style India Pale Ale,5.3,183.0,Aviator Brewing Company,India Pale Ale
Crowbar,American-Style India Pale Ale,5.9,132.0,Braxton Brewing Company,India Pale Ale
Crows Provender,American-Style India Pale Ale,8.5,130.0,Woodstock Brewhouse,India Pale Ale
Cysquatch IPA,American-Style India Pale Ale,7.1,126.0,Rock Bridge Brewing Company,India Pale Ale
Dank Tank Ghoulash,Imperial or Double India Pale Ale,8.5,167.0,SweetWater Brewing Company,India Pale Ale
Decadence Imperial IPA,Imperial or Double India Pale Ale,10.0,160.0,Trinity Brewhouse,India Pale Ale
Deep Powder IPA,American-Style India Pale Ale,7.5,120.0,Plank Town Brewing Company,India Pale Ale
Denamelizer Double IPA,Imperial or Double India Pale Ale,10.3,140.0,Wrecking Bar Brewpub,India Pale Ale
Detention Double IPA,Imperial or Double India Pale Ale,9.0,118.0,J. Wakefield Brewing,India Pale Ale
"DEVFFC, MQAL9,.8",Imperial or Double India Pale Ale,9.0,150.0,Evil Twin Brewing,India Pale Ale
Devil Dancer,Imperial or Double India Pale Ale,12.0,112.0,Founders Brewing Company,India Pale Ale
Devil's Backbone,American-Style Amber Lager,4.9,500.0,Kinnegar Brewing,Ale
DFG IPA,Imperial or Double India Pale Ale,9.0,130.0,Bier Brewery & Taproom,India Pale Ale
Divide & Conch'r,Imperial or Double India Pale Ale,8.0,200.0,Idyll Hounds Brewing Company,India Pale Ale
Divine Right Double IPA,American-Style India Pale Ale,8.7,120.0,River City Brewing Company,India Pale Ale
Dock's End,Imperial or Double India Pale Ale,7.5,193.0,Kinney Creek Brewery,India Pale Ale
Domination Ale,American-Style Barley Wine Ale,12.0,130.0,Horseheads Brewing,Ale
Dos Cone Es,Imperial or Double India Pale Ale,11.5,135.0,Cismontane Brewing,India Pale Ale
Double Action,Imperial or Double India Pale Ale,10.3,114.0,Braman Brewing Company,India Pale Ale
Double Black Hole,Imperial or Double India Pale Ale,10.2,168.0,Cosmos Brewing,India Pale Ale
Double Dragon Point,Imperial or Double India Pale Ale,8.2,124.0,Intracoastal Brewing Company,India Pale Ale
Double IPA,Imperial or Double India Pale Ale,9.5,115.0,TableRock Brewpub and Grill,India Pale Ale
Double IPA,Imperial or Double India Pale Ale,10.7,116.0,Fieldhouse Brewing Company,India Pale Ale
Double IPA,Imperial or Double India Pale Ale,9.0,118.0,Hangar 24 Craft Brewery,India Pale Ale
Double IPA,Imperial or Double India Pale Ale,8.2,126.0,Maple Meadows Brewing Co.,India Pale Ale
Double IPA,Imperial or Double India Pale Ale,9.1,120.0,Ballad Brewing,India Pale Ale
Double IPA (DIPA),Imperial or Double India Pale Ale,9.0,150.0,Powell Street Craft Brewery,India Pale Ale
Double Platinum,Imperial or Double India Pale Ale,8.5,180.0,Starr Hill Brewery,India Pale Ale
Double Rainbow IPA All the Way,Imperial or Double India Pale Ale,8.5,111.0,Cismontane Brewing,India Pale Ale
Double Tribute,American-Style Strong Pale Ale,8.0,120.0,Indiana City Brewing Co.,Ale
Double Trouble,Australian-Style Pale Ale,9.0,167.0,Tuatara Brewing Company,Ale
